easting,northing,cluster_density_level
780014.5701828271,835825.9840005938,1
671460.5141293806,790746.8271254649,1
694861.2565317331,851714.3949251485,1
771121.1998610044,825819.8876300526,1
696967.6707107454,860387.6123124752,1
700096.1426618256,855801.1740433901,1
694861.2565317331,851714.3949251485,1
583579.1663137644,823899.28904629,-1
785311.138352709,816596.1918682348,1
688557.8967725907,864224.2052372376,1
775605.7777597766,818560.1720146833,1
775899.3130881672,807308.374360852,1
694735.4261270919,807531.7149203316,1
718569.1501578562,852359.364633297,1
763052.8906395268,820440.0651660905,1
700383.7999802248,805168.3067449627,1
686071.5615841119,848256.0804688709,1
721734.5810668652,775947.0078947875,1
726637.7583921812,785681.7097928957,1
760370.3777311824,829802.4023222162,1
728511.9475626663,732439.2435836989,1
770198.1030488109,807126.9855809897,1
781673.950691699,806691.3259696916,1
752590.1139105611,837316.6041069973,1
721929.1007616691,774899.1602076791,1
762035.0058156624,823769.1230419585,1
698617.1948287871,795827.3643680905,1
685674.1519076066,847110.8079967054,1
682993.0306290295,846508.8953404789,1
695619.5006969798,811846.939263552,1
765470.307604978,829594.8967952061,1
793592.7273424536,810906.2129584526,1
702945.9882043833,798228.5675635751,1
768799.3168788112,815641.8940194238,1
769205.2447075803,827482.8680239563,1
771522.5845743841,826845.4405211523,1
703062.0626060385,866332.4268295361,1
770785.6842394155,820692.4949865323,1
777088.8004911869,817161.9482145945,1
720974.3064237653,845851.4246409133,1
728462.6615757538,732943.1784385684,1
753715.6446156279,819100.2633474536,1
707540.7482623287,809199.5354646214,1
770018.5023497908,826912.5438932391,2
620702.3592062359,813449.6884987754,-1
741725.8471477058,824446.2037914563,1
697898.3290460972,861286.7861281564,1
762883.3427304542,831497.3309328881,1
784947.4705160385,819642.8549177514,1
774124.006425386,818142.7864126739,1
715734.1877582596,819501.124169844,1
764412.8960301492,843745.2491374059,1
694052.5179291951,852319.77623906,1
691696.2419470377,821019.4234617155,1
700587.3565252421,860080.5448918343,1
738030.0049492932,878905.7860902199,0
726560.0131745234,783510.7917489557,1
767104.1300090244,828113.4678966886,1
745182.4669463194,863341.1769634478,1
684477.804388497,856481.452823292,1
698207.264908146,798061.2425118275,1
696195.0094677174,846801.4059258299,1
703973.101190966,804236.9954273473,1
698656.60242496,851995.1961219965,1
770850.7446756396,826088.5162227454,2
734812.5444052619,833814.0431447264,1
712695.6975761218,781600.8271122955,1
746476.1733328402,821194.8738463442,1
751808.4455648765,827815.6092375343,1
697271.5454349793,813831.8171234702,2
714086.2301304471,849793.0387803481,1
687284.2082163498,864466.050790737,1
749926.1606892126,862674.420168192,1
697898.3290460972,861286.7861281564,1
697898.3290460972,861286.7861281564,1
770373.5099932436,826562.9419706312,2
676945.0978870674,793506.7834490517,1
710549.1863742704,781416.4683850172,1
710729.3965403378,780293.0603908092,1
751012.1260421479,830689.60434645,1
707453.0335524768,875770.2783019235,0
772978.0252942191,823197.0851392639,1
695896.2654603381,809583.6077855291,1
718365.048694127,738137.9382744732,1
645401.8441935354,870548.3635690035,-1
672300.7325669843,780173.3336069615,1
692391.4696025116,851445.5549335314,1
744472.9157077902,863699.7203781519,1
730669.2843189106,859510.9651170238,1
690039.9400166735,845484.4803177238,1
760496.4767227398,813835.3152798547,1
725654.814088736,769875.5943500473,1
628084.3412365963,787302.9464821508,-1
698024.3964202799,858512.4474151863,1
761637.8795784868,851692.3555266329,1
698084.8593296962,818850.8261862083,1
714152.1847416834,848909.3292861175,1
718689.8992106465,725935.3669491652,0
780611.9222916227,822520.0870522157,1
713337.5209692224,794469.6594070862,0
724639.0913624818,734793.3656784199,1
697229.3997752562,854602.5596039098,1
711514.627450211,849384.3184397967,1
751126.1131066744,866983.1610151081,1
643652.8056185809,837428.7257262716,-1
703794.7833454746,853850.5824640107,1
736735.1544084453,827822.4447457273,1
737718.6512185948,733852.3292241613,1
770018.5023497908,826912.5438932391,2
764599.6723705821,813516.8540866611,1
763069.8583368928,828549.9939989924,1
781503.9736302937,813509.5637787413,1
716861.5913736004,876902.1025326124,0
714102.4579692587,851367.6370226518,1
702831.2890281113,788749.1762863768,1
787576.8876611508,831278.1449202716,1
775120.5609157848,826948.2909114299,1
