"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","26-357589","2026-07-03 20:51:14+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","27150 RUE DE PAIX","BONITA SPRINGS",,,,"{""id"": ""26-357589"", ""city"": ""BONITA SPRINGS"", ""nature"": ""DISTURBANCE"", ""address"": ""27150 RUE DE PAIX"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 16:51:14.0000000"", ""incidentNumber"": ""26-357589""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357566","2026-07-03 20:23:24+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","08-REPORT TAKEN","2547 SUNNILAND BLVD","LEHIGH ACRES",,,,"{""id"": ""26-357566"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""2547 SUNNILAND BLVD"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 16:23:24.0000000"", ""incidentNumber"": ""26-357566""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357554","2026-07-03 20:16:48+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL LIVESTOCK","05-HANDLED BY DEPUTY","10606 PALM BEACH BLVD","FORT MYERS",,,,"{""id"": ""26-357554"", ""city"": ""FORT MYERS"", ""nature"": ""ANIMAL LIVESTOCK"", ""address"": ""10606 PALM BEACH BLVD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 16:16:48.0000000"", ""incidentNumber"": ""26-357554""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357547","2026-07-03 20:11:41+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL LIVESTOCK","05-HANDLED BY DEPUTY","10380 DEER RUN FARMS RD","FORT MYERS",,,,"{""id"": ""26-357547"", ""city"": ""FORT MYERS"", ""nature"": ""ANIMAL LIVESTOCK"", ""address"": ""10380 DEER RUN FARMS RD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 16:11:41.0000000"", ""incidentNumber"": ""26-357547""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357502","2026-07-03 19:33:00+00","2026-07-06 16:53:21.588848+00",,,"STOLEN PLATE","08-REPORT TAKEN","2600 NE PINE ISLAND RD","CAPE CORAL",,,,"{""id"": ""26-357502"", ""city"": ""CAPE CORAL"", ""nature"": ""STOLEN PLATE"", ""address"": ""2600 NE PINE ISLAND RD"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 15:33:00.0000000"", ""incidentNumber"": ""26-357502""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357486","2026-07-03 19:21:00+00","2026-07-06 16:53:21.588848+00",,,"FRAUD","08-REPORT TAKEN","8695 COLLEGE PKWY","FORT MYERS",,,,"{""id"": ""26-357486"", ""city"": ""FORT MYERS"", ""nature"": ""FRAUD"", ""address"": ""8695 COLLEGE PKWY"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 15:21:00.0000000"", ""incidentNumber"": ""26-357486""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357473","2026-07-03 19:07:31+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","01-ARREST","614 SW SANTA BARBARA PL","CAPE CORAL",,,,"{""id"": ""26-357473"", ""city"": ""CAPE CORAL"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""614 SW SANTA BARBARA PL"", ""disposition"": ""01-ARREST"", ""occuredDate"": ""2026-07-03 15:07:31.0000000"", ""incidentNumber"": ""26-357473""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357454","2026-07-03 18:52:51+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","15-WRITTEN DOCUMENTATION NON UCR","200 DANLEY DR","FORT MYERS",,,,"{""id"": ""26-357454"", ""city"": ""FORT MYERS"", ""nature"": ""ANIMAL"", ""address"": ""200 DANLEY DR"", ""disposition"": ""15-WRITTEN DOCUMENTATION NON UCR"", ""occuredDate"": ""2026-07-03 14:52:51.0000000"", ""incidentNumber"": ""26-357454""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357452","2026-07-03 18:50:54+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","2437 JOE AVE S","LEHIGH ACRES",,,,"{""id"": ""26-357452"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""2437 JOE AVE S"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 14:50:54.0000000"", ""incidentNumber"": ""26-357452""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357431","2026-07-03 18:35:54+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","4600 KAREN AVE S","LEHIGH ACRES",,,,"{""id"": ""26-357431"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DISTURBANCE"", ""address"": ""4600 KAREN AVE S"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 14:35:54.0000000"", ""incidentNumber"": ""26-357431""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
