Density scenario: 2levels (street + neighborhood)
Levels (loosest -> tightest): ['neighborhood', 'street']
n_total=250 n_noise=151 counts_by_level={-1: 151, 0: 70, 1: 29}
------------------------------------------------------------
lat,lng,density_level
26.597595869361,-81.733512382386,-1
26.676825714947,-81.881506281176,0
26.330707834714,-81.809107296204,-1
26.529209977603,-81.871424722971,-1
26.746046962985,-81.814020981071,-1
26.584816652405,-81.611870889551,0
26.6706383,-81.8828565,0
26.496211490011,-81.950051734951,-1
26.711256219207,-81.900779623463,-1
26.637568433759,-82.038312006677,-1
26.707676982234,-81.704076182461,-1
26.553240860491,-81.91851120164,-1
26.584681631541,-81.567418215052,-1
26.672081119202,-81.660805512691,-1
26.592643894852,-81.723645861556,-1
26.601283798877,-81.650712503503,1
26.599275086881,-81.721689071172,-1
26.548756451769,-81.864745021744,-1
26.352278234435,-81.784959060382,0
26.465403485275,-81.798984228607,-1
26.681931828141,-81.897813924126,0
26.616235135123,-81.681062863469,0
26.503577519862,-81.857314148258,-1
26.610825603495,-81.707282325164,-1
26.703974991904,-81.581668617581,-1
26.601616138807,-81.738161912736,-1
26.7514593,-81.7491448,-1
26.585194666722,-81.634530287677,0
26.615628423346,-81.665455184264,0
26.689756558539,-81.775630284739,-1
26.570566583437,-81.872134675177,1
26.57721813528,-81.655381161539,-1
26.580167955082,-81.691896235812,-1
26.482775072222,-81.830479665984,1
26.599625520674,-81.676014705556,-1
26.57125254885,-81.616528938814,-1
26.495047081575,-81.784535882738,-1
26.543218596601,-81.851566671435,-1
26.689698972454,-81.731114065019,-1
26.526400939076,-81.575249118651,-1
26.720247396018,-81.902936049277,-1
26.669047147243,-81.822442613283,0
26.608215636147,-81.651556997264,1
26.486464550451,-81.807799342102,-1
26.5218795,-82.1897251,-1
26.667331423397,-81.908431076014,-1
26.659861361541,-81.674146832066,0
26.572599759623,-81.874239231039,1
26.746397105891,-81.929871477827,-1
26.58133631167,-81.630004811963,0
26.572744782841,-81.644400275107,-1
26.682639691539,-81.645169139626,-1
26.66724917351,-81.884816667588,0
26.636534371248,-81.616731660316,-1
26.572714037819,-81.87180149023,1
26.483877869577,-81.82718071681,1
26.600999109408,-81.647121339678,1
26.513131651167,-81.904187480082,-1
26.330465537602,-81.808478788843,-1
26.673000220517,-81.753807766193,0
26.331730962652,-81.73006188802,-1
26.704169443589,-81.855019841811,-1
26.6833164,-81.875206,0
26.728685408122,-82.032983858361,-1
26.685524485124,-81.885008680019,0
26.492133009218,-81.890682457658,-1
26.673162030427,-81.812725436093,-1
26.571402445008,-81.668247473615,-1
26.608817536279,-81.633164425396,-1
26.453658881722,-81.827048645435,-1
26.70315222819,-81.872176308847,1
26.685466353654,-81.853933939656,-1
26.620083968909,-81.597778134475,-1
26.607251187417,-81.650473427918,1
26.656047222018,-81.966001858732,-1
26.560915971693,-81.878459341346,0
26.567143447543,-81.879299516378,0
26.6754031683,-81.696291233043,-1
26.618737236495,-81.709699546207,-1
26.676092215655,-81.88907036694,0
26.68805457271,-81.865462001361,-1
26.48907489568,-81.784784711148,-1
26.657336499335,-81.720298255335,-1
26.559832802854,-81.835807430551,-1
26.629282795306,-81.6280507892,-1
26.627425429843,-81.75926493393,-1
26.699267468651,-81.721492085673,0
26.720106844039,-81.826072995065,-1
26.677657298989,-81.867816117609,0
26.600695692068,-81.608985433848,-1
26.563986163686,-81.579569848716,-1
26.55527389388,-81.882016441776,0
26.608019683854,-81.64695435598,1
26.662530486049,-81.917861307468,-1
26.559824493576,-81.842837198439,-1
26.519597226966,-81.963867467416,-1
26.552493553391,-81.616071402925,-1
26.695519415574,-81.871798700376,0
26.685718418479,-81.892519108951,1
26.684765112447,-81.874245466096,0
26.6545647305,-81.668579271311,0
26.586405535406,-81.871735451052,-1
26.609542892742,-81.722521009037,-1
26.600468308892,-81.698685999968,-1
26.516723706425,-81.936460509966,-1
26.586836675184,-81.701507442906,-1
26.67581038124,-81.822584420315,0
26.70449676566,-81.723110319077,0
26.480287127801,-81.833197326281,1
26.663474731628,-81.757669726221,0
26.523063085461,-81.870177895558,-1
26.660837970904,-81.665917504084,0
26.713041259376,-81.73017250678,0
26.599645139793,-81.650707211611,1
26.659876021082,-81.802447576528,-1
26.632658941692,-81.620883440516,-1
26.676825714947,-81.881506281176,0
26.483378459574,-81.833743807925,1
26.70315222819,-81.872176308847,1
26.355052792824,-81.790899528085,0
26.614448685324,-81.654126219963,0
26.676446103273,-81.677066521833,-1
26.317574978788,-81.808828843798,-1
26.572307249802,-81.680798797354,-1
26.480046647926,-81.950679119983,-1
26.652820211268,-81.919894442071,-1
26.508576582761,-81.942209800723,-1
26.596048575205,-81.619176156809,-1
26.717018103355,-81.856342074493,-1
26.6633061,-81.8774363,0
26.34050005267,-81.777810659442,0
26.703711366893,-81.755680103958,-1
26.554237607712,-81.633730555786,-1
26.60831094217,-81.85119935188,-1
26.357233085235,-81.784790416115,0
26.664181432191,-81.909650468406,-1
26.572453435422,-81.87334897423,1
26.700681055951,-81.875029670265,1
26.694866333006,-81.730611671008,-1
26.52965651142,-81.856931113559,-1
26.624294492655,-81.680407383831,0
26.573036966785,-81.641314588758,-1
26.351494199546,-81.784487988814,0
26.546183432926,-81.853768797746,-1
26.586183298949,-81.64308543444,0
26.611667093257,-81.867319966258,-1
26.348682478659,-81.748853770956,-1
26.685718418479,-81.892519108951,1
26.671478571039,-81.822640815724,0
26.669393620393,-81.891591478828,0
26.60594240757,-81.649016858106,1
26.571562655143,-82.108508244181,-1
26.50194756664,-81.943556053715,-1
26.349945014016,-81.779232701198,0
26.597081619311,-81.740189738381,-1
26.617258134639,-81.667755555816,0
26.636958779707,-81.704822846286,-1
26.660837970904,-81.665917504084,0
26.662283948154,-81.683997505791,-1
26.59797163293,-81.642531219635,0
26.660606914033,-81.801566883436,-1
26.694331010711,-81.69718616503,-1
26.620880581248,-81.673358184061,0
26.676447327939,-81.677014036097,-1
26.529434951422,-81.941586490024,-1
26.653693060057,-81.671491397851,0
26.608215636147,-81.651556997264,1
26.684919827273,-81.8922697843,1
26.560515326804,-81.871706279402,0
26.605201343968,-81.648191413536,1
26.682677123968,-81.85414117415,-1
26.592387912533,-81.891278649324,-1
26.641687320291,-81.718600372549,-1
26.514896233337,-81.856593284956,-1
26.543218596601,-81.851566671435,-1
26.685034418639,-81.892124065638,1
26.584057966298,-81.639067901218,0
26.631926576143,-81.811446036752,-1
26.742968112933,-81.842854987072,-1
26.60979071857,-81.654041233552,1
26.600755184249,-81.60063143585,-1
26.600178994234,-82.222143785644,-1
26.707196611024,-81.869866954974,0
26.612770888926,-81.6728103738,0
26.4515663,-81.7876211,-1
26.364281118826,-81.810044305108,-1
26.661021391972,-81.887216036895,0
26.6671993,-81.8899218,0
26.659698097506,-81.896286377283,-1
26.579712283942,-81.604851857587,0
26.678520975435,-81.808901431056,-1
26.689963347413,-81.913294216496,-1
26.604773408814,-81.794277681898,-1
26.563882127511,-81.604698598242,-1
26.468287131113,-81.799573828923,-1
